, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score
189,6585516,FALSE,"[28, 12, 18, 36]",10544,Ned Kelly,6.985726,3/22/2003,en,0,110,6.1,123,-0.003708333
190,1750301,FALSE,"[18, 14]",5048,Prospero's Books,2.686087,9/5/1991,en,0,120,6.5,30,-0.050242857
191,354704,FALSE,"[80, 18, 27, 53]",48309,Prison,2.590663,3/4/1988,en,1300000,102,6.7,27,0.012091667
192,14796236,FALSE,"[80, 27]",8617,Prom Night,6.096935,4/10/2008,en,0,88,4.8,179,-0.05649
193,135000000,FALSE,"[18, 10749]",4584,Sense and Sensibility,6.59583,12/13/1995,en,16500000,136,7.2,388,-0.7773
194,676525,FALSE,[18],34615,"Cry, the Beloved Country",2.33561,12/15/1995,en,0,106,6.7,13,0
195,480811,FALSE,"[80, 18]",9517,Bully,6.315463,6/15/2001,en,0,113,6.7,133,0
196,3251794,FALSE,"[80, 18, 53, 9648]",994,Straw Dogs,7.203698,12/29/1971,en,2200000,118,7.2,248,0.9025
197,181001478,FALSE,"[53, 80, 18]",4147,Road to Perdition,8.393301,7/12/2002,en,80000000,117,7.3,1177,0.149162963
198,760883,FALSE,"[16, 14, 878]",15035,Fire and Ice,5.788546,3/25/1983,en,1200000,81,6.4,40,0.329444444
199,1702433,FALSE,"[35, 18]",321751,A Perfect Day,9.545707,8/28/2015,en,0,106,6.6,204,0
200,56681566,FALSE,"[28, 14]",9947,Elektra,9.25167,1/13/2005,en,43000000,97,4.8,642,0.3026
201,113916474,FALSE,"[35, 18, 10402, 10749]",6282,Coyote Ugly,7.372124,7/30/2000,en,45000000,100,5.9,634,0.009390909
202,38629478,FALSE,"[80, 9648, 53]",3093,Basic Instinct 2,7.543018,3/29/2006,en,70000000,114,4.6,193,0.137668182
203,174999005,FALSE,"[18, 80, 53]",7442,Sleeping with the Enemy,8.645425,2/8/1991,en,19000000,99,6.2,254,-0.1802
204,6754898,FALSE,"[18, 35]",7510,Running with Scissors,5.17328,10/27/2006,en,12000000,116,5.8,83,-0.088
205,53587404,FALSE,"[14, 18, 27, 28, 53, 878]",10253,Dragon Wars: D-War,6.026141,2/8/2007,ko,70000000,90,4,106,0.130857143
206,9801375,FALSE,"[18, 10749]",1791,The Piano Teacher,7.252297,5/14/2001,fr,3000000,131,7.2,210,0.1051125
207,14418922,FALSE,"[35, 27, 878]",18462,Night of the Comet,5.869497,11/16/1984,en,3000000,95,6.1,98,-0.241475
208,150270147,FALSE,"[28, 12, 18, 53]",9208,Broken Arrow,7.69462,2/9/1996,en,50000000,108,5.7,474,0
209,152500343,FALSE,"[35, 18, 10749]",392,Chocolat,8.141895,12/14/2000,en,25000000,121,6.8,1057,0.374
210,34710627,FALSE,"[18, 10749]",38684,Jane Eyre,6.145302,3/11/2011,en,0,120,7,469,-0.147123077
211,66002004,FALSE,"[35, 10751, 12, 14, 10749]",11451,Herbie Fully Loaded,8.35774,6/22/2005,en,50000000,101,5.1,607,-0.229257143
212,6413915,FALSE,"[35, 10749]",20009,Slackers,8.857715,2/1/2002,en,14000000,86,5.4,61,-0.057488235
213,4500000,FALSE,"[18, 35, 10402, 10749]",2769,An American in Paris,9.844808,8/8/1951,en,2723903,113,6.9,140,0.191364
214,14134877,FALSE,"[28, 12, 35, 18, 53]",21871,Tank,3.020277,3/16/1984,en,0,113,5.8,23,0
215,48451803,FALSE,[18],334,Magnolia,8.696982,12/8/1999,en,37000000,188,7.5,916,-0.199076923
