Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
The Advanced Guard,78371,"[878, 53]",2.086336,3/21/98,FALSE,en,7,2.4,91,0,0,-6.76347E-05
Spanish Judges,141319,"[80, 18]",1.910192,10/16/00,FALSE,en,2,5.5,94,3500000,0,-2.32039E-07
Gung Ho,13698,"[35, 18]",5.346699,3/13/86,FALSE,en,50,6.2,111,0,36611610,-1.02663E-05
Hell's Threshold,202962,[],1.000006,,FALSE,en,0,0,76,0,0,-2.35892E-05
Chillers,97971,[27],1.098584,1/1/87,FALSE,en,2,3.5,91,250000,0,-2.21405E-05
In the Good Old Summertime,25698,"[35, 10402, 10749]",1.456864,7/29/49,FALSE,en,10,6.7,102,3400000,0,-8.38354E-06
Mysterious Planet,363406,[],1.00057,1/1/82,FALSE,en,0,0,71,0,0,-1.12081E-05
Twenty Minutes of Love,53375,[35],1.972442,4/20/14,FALSE,en,11,5.9,20,0,0,1.40437E-05
The Last Station,36811,"[18, 10749]",5.968739,9/4/09,FALSE,en,64,6.7,112,0,0,-3.62102E-06
Gammera the Invincible,35616,"[27, 878]",2.120733,12/15/66,FALSE,en,7,5.4,86,0,0,-1.2744E-05
Checkout,62101,"[35, 10749]",1.002357,8/2/02,FALSE,en,0,0,100,0,0,-1.36876E-05
G.I. Jane,4421,"[28, 18]",7.65784,8/22/97,FALSE,en,430,6,125,50000000,48169156,-2.86353E-05
Man on Fire,9509,"[28, 18, 53, 80]",9.562333,4/23/04,FALSE,en,1664,7.3,146,70000000,130293714,-6.56643E-06
Dollman,68773,"[28, 35, 80, 878]",2.549128,11/27/91,FALSE,en,17,5.3,82,0,0,-4.47323E-05
Don't Drink the Water,10462,[35],1.784754,12/18/94,FALSE,en,16,4.9,92,0,0,-7.06102E-06
Trailer for a Remake of Gore Vidal's Caligula,308783,"[35, 18]",1.881146,6/15/05,FALSE,en,4,7,6,120000,0,-2.83394E-05
Psychos in Love,48789,"[35, 27]",1.274696,5/1/87,FALSE,en,6,6,88,75000,0,-5.29818E-05
The Great Ecstasy of Robert Carmichael,44986,"[80, 18]",1.832169,8/14/05,FALSE,en,7,5.5,96,0,0,-2.30099E-05
Deewana,45001,"[28, 35, 80, 18, 10749]",1.682441,6/25/92,FALSE,hi,11,7,185,0,12000000,-1.25302E-05
The Barefoot Executive,20173,"[35, 10751]",2.509476,3/17/71,FALSE,en,11,5.1,96,0,0,-4.65351E-06
Flying Saucer Daffy,117385,[35],1.002818,10/9/58,FALSE,en,0,0,17,0,0,-7.63939E-06
Party 7,31140,"[28, 35, 10769]",1.843335,9/27/00,FALSE,ja,6,5.4,104,0,0,-4.4399E-06
Demonicus,43081,"[14, 27, 878]",1.156975,7/24/01,FALSE,en,2,5.3,72,0,0,-1.10963E-05
A Thief in the Night,144662,"[27, 18, 14]",1.296638,1/9/72,FALSE,en,2,6,69,60,0,5.53319E-07
Almost Golden: The Jessica Savitch Story,117399,[],1.001249,9/4/95,FALSE,en,0,0,0,0,0,-5.85188E-05
While the Patient Slept,156970,[9648],1.004829,3/9/35,FALSE,en,0,0,66,0,0,-1.25975E-06
There's Good Boos To-Night,188384,[],1.072222,4/22/48,FALSE,en,2,3,7,0,0,-3.09342E-05
Suicide Fleet,214677,"[10752, 35, 18]",1.012356,11/30/31,FALSE,en,0,0,87,0,0,-4.02075E-06
Yentl,10269,"[10402, 18, 10749]",4.327411,11/18/83,FALSE,en,56,6.2,132,12000000,30400000,-1.48459E-05
"New York, I Love You",12572,"[35, 18, 10749]",7.024174,9/6/08,FALSE,en,183,5.8,103,14700000,8049666,-6.42359E-06
Tail Gunner Joe,266135,"[10770, 18]",1.284816,2/6/77,FALSE,en,1,5,145,0,0,-8.47726E-06
Dark Floors,14145,"[14, 27]",3.854938,2/6/08,FALSE,en,52,4.7,85,4300000,0,-1.7948E-05
Doubt,14359,"[18, 9648]",7.568715,11/27/08,FALSE,en,482,7.1,104,20000000,50907234,-5.01559E-06
Major Payne,11008,"[12, 35, 10751]",6.682718,3/24/95,FALSE,en,176,6,95,0,0,-3.37838E-05
Pray for the Wildcats,86204,"[18, 10770]",1.001233,1/23/74,FALSE,en,0,0,100,0,0,-8.64585E-06
The House That Screamed,146165,[],1.002454,4/11/00,FALSE,en,0,0,70,0,0,-1.55029E-05
The Colossus of New York,56767,"[27, 878]",1.334135,6/26/58,FALSE,en,8,4.8,70,0,0,-2.09305E-05
The Last Hunt,127564,[37],1.683232,4/30/56,FALSE,en,5,6.4,108,0,0,2.0601E-05
Eye of the Needle,10863,"[28, 18, 10749, 53]",4.157178,7/24/81,FALSE,en,49,6.4,112,0,18000000,-1.7387E-05
Provocateur,165550,"[53, 28, 18]",1.199853,5/19/98,FALSE,en,1,3,103,0,0,-1.799E-05
This House Possessed,109120,[27],1.548594,2/6/81,FALSE,en,3,5.3,96,0,0,-8.14721E-06
Evil Breed: The Legend of Samhain,39923,"[27, 35]",1.534935,1/1/02,FALSE,en,6,4.2,78,0,0,-4.16819E-06
